#,,,
#node:,THIN,,
#library:,BLIS,,
#precision:,double,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
12,2000,0.030210,529.629230
12,2000,0.031611,506.145188
12,2000,0.027879,573.913453
12,2000,0.037719,424.188827
12,2000,0.026745,598.250603
12,2250,0.036327,627.122858
12,2250,0.050626,449.992551
12,2250,0.041096,554.343809
12,2250,0.041054,554.915484
12,2250,0.041249,552.280439
12,2500,0.049009,637.635578
12,2500,0.063124,495.054579
12,2500,0.051988,601.094542
12,2500,0.063072,495.467731
12,2500,0.053372,585.507573
12,2750,0.076609,542.938447
12,2750,0.067491,616.283811
12,2750,0.077762,534.882622
12,2750,0.062444,666.092929
12,2750,0.062861,661.680136
12,3000,0.094819,569.507920
12,3000,0.085423,632.151640
12,3000,0.086084,627.295109
12,3000,0.085667,630.350023
12,3000,0.081595,661.804479
12,3250,0.099537,689.753306
12,3250,0.099914,687.155605
12,3250,0.104668,655.944005
12,3250,0.099600,689.316381
12,3250,0.104298,658.267213
12,3500,0.123237,695.812425
12,3500,0.128457,667.539619
12,3500,0.127716,671.409467
12,3500,0.128014,669.847899
12,3500,0.127515,672.471256
12,3750,0.161519,652.981748
12,3750,0.152957,689.534266
12,3750,0.163133,646.518270
12,3750,0.151197,697.556320
12,3750,0.149201,706.892710
12,4000,0.183996,695.665804
12,4000,0.184334,694.392316
12,4000,0.185392,690.427745
12,4000,0.181216,706.339595
12,4000,0.181141,706.633430
12,4250,0.219557,699.276402
12,4250,0.218037,704.153097
12,4250,0.221333,693.665898
12,4250,0.218071,704.043395
12,4250,0.222591,689.746992
12,4500,0.256609,710.223282
12,4500,0.255812,712.437843
12,4500,0.262613,693.987197
12,4500,0.260934,698.453242
12,4500,0.254968,714.796165
12,4750,0.303671,705.841897
12,4750,0.306809,698.621987
12,4750,0.306143,700.142324
12,4750,0.300907,712.324790
12,4750,0.315843,678.640649
12,5000,0.351706,710.821103
12,5000,0.356402,701.454122
12,5000,0.355748,702.744657
12,5000,0.365219,684.521636
12,5000,0.356986,700.306920
12,5250,0.399695,724.068247
12,5250,0.399713,724.034729
12,5250,0.402544,718.943736
12,5250,0.403543,717.163845
12,5250,0.412511,701.571394
12,5500,0.463811,717.426276
12,5500,0.463897,717.293537
12,5500,0.464997,715.596673
12,5500,0.458768,725.311478
12,5500,0.459728,723.797118
12,5750,0.515122,738.114497
12,5750,0.530643,716.525189
12,5750,0.516269,736.473893
12,5750,0.513636,740.249888
12,5750,0.512329,742.137850
12,6000,0.591998,729.732189
12,6000,0.599185,720.979723
12,6000,0.594078,727.177308
12,6000,0.587877,734.847497
12,6000,0.595800,725.075857
12,6250,0.665163,734.078013
12,6250,0.669305,729.535184
12,6250,0.668618,730.283883
12,6250,0.671015,727.675706
12,6250,0.669451,729.375342
12,6500,0.742240,739.990045
12,6500,0.753438,728.991274
12,6500,0.742683,739.548517
12,6500,0.749444,732.876904
12,6500,0.762384,720.437447
12,6750,0.829846,741.214571
12,6750,0.826467,744.244703
12,6750,0.846305,726.799503
12,6750,0.834997,736.641967
12,6750,0.833320,738.124472
12,7000,0.935943,732.950403
12,7000,0.920643,745.131796
12,7000,0.926720,740.245520
12,7000,0.923802,742.582985
12,7000,0.942331,727.981960
12,7250,1.022988,745.029870
12,7250,1.036459,735.346083
12,7250,1.027231,741.951883
12,7250,1.019290,747.732669
12,7250,1.032979,737.823465
12,7500,1.149308,734.137449
12,7500,1.141923,738.885128
12,7500,1.146202,736.126704
12,7500,1.144293,737.354806
12,7500,1.151416,732.793618
12,7750,1.270690,732.648191
12,7750,1.259110,739.386121
12,7750,1.262020,737.681650
12,7750,1.260896,738.339129
12,7750,1.277474,728.757372
12,8000,1.381562,741.190174
12,8000,1.393323,734.933502
12,8000,1.386211,738.704530
12,8000,1.413998,724.187905
12,8000,1.395039,734.029526
12,8250,1.522522,737.612466
12,8250,1.538233,730.078879
12,8250,1.554015,722.664367
12,8250,1.528926,734.522771
12,8250,1.517532,740.037755
12,8500,1.656216,741.600228
12,8500,1.662885,738.625831
12,8500,1.666220,737.147422
12,8500,1.669627,735.643449
12,8500,1.662818,738.655515
12,8750,1.829869,732.207343
12,8750,1.848880,724.678719
12,8750,1.854792,722.368902
12,8750,1.828363,732.810577
12,8750,1.807015,741.468107
12,9000,1.972157,739.292198
12,9000,1.975905,737.889871
12,9000,1.982136,735.570123
12,9000,1.971998,739.351621
12,9000,1.964641,742.120157
12,9250,2.116260,747.973316
12,9250,2.127695,743.953572
12,9250,2.126500,744.371688
12,9250,2.134998,741.408804
12,9250,2.128430,743.696622
12,9500,2.288959,749.139592
12,9500,2.294592,747.300610
12,9500,2.294972,747.176787
12,9500,2.292891,747.855124
12,9500,2.286775,749.855001
12,9750,2.467429,751.275415
12,9750,2.466268,751.629201
12,9750,2.480829,747.217505
12,9750,2.476957,748.385484
12,9750,2.523000,734.728000
12,10000,2.709227,738.217890
12,10000,2.705872,739.133390
12,10000,2.697197,741.510595
12,10000,2.731439,732.214830
12,10000,2.706702,738.906565
12,10250,2.989981,720.332648
12,10250,2.993708,719.435862
12,10250,2.942631,731.923618
12,10250,2.990313,720.252782
12,10250,2.966508,726.032488
12,10500,3.171907,729.923630
12,10500,3.212769,720.640130
12,10500,3.119788,742.117777
12,10500,3.149081,735.214522
12,10500,3.119294,742.235204
12,10750,3.428704,724.645231
12,10750,3.382323,734.581997
12,10750,3.413924,727.782455
12,10750,3.414336,727.694463
12,10750,3.400815,730.587738
12,11000,3.549982,749.863014
12,11000,3.573876,744.849482
12,11000,3.543187,751.300998
12,11000,3.624489,734.448370
12,11000,3.567008,746.283788
12,11250,3.825195,744.447315
12,11250,3.932417,724.149081
12,11250,3.848983,739.846403
12,11250,3.816694,746.105528
12,11250,3.936467,723.404112
12,11500,4.287085,709.514661
12,11500,4.157843,731.569236
12,11500,4.077905,745.909929
12,11500,4.071810,747.026588
12,11500,4.084654,744.677554
12,11750,4.442061,730.397147
12,11750,4.429660,732.441871
12,11750,4.433385,731.826573
12,11750,4.484262,723.523481
12,11750,4.400128,737.357884
12,12000,4.687826,737.228700
12,12000,4.711129,733.582135
12,12000,4.694044,736.252079
12,12000,4.743035,728.647411
12,12000,4.745180,728.318023
12,12250,5.115528,718.700305
12,12250,5.077420,724.094302
12,12250,5.066798,725.612414
12,12250,5.079573,723.787391
12,12250,5.162456,712.167063
12,12500,5.273308,740.758982
12,12500,5.262752,742.244778
12,12500,5.287985,738.702937
12,12500,5.273699,740.703993
12,12500,5.289232,738.528818
12,12750,5.546395,747.394236
12,12750,5.654285,733.133199
12,12750,5.651014,733.557549
12,12750,5.699883,727.268182
12,12750,5.603360,739.796085
12,13000,6.068970,724.010774
12,13000,5.944630,739.154518
12,13000,6.089912,721.521080
12,13000,5.931988,740.729692
12,13000,6.078299,722.899562
12,13250,6.329019,735.091157
12,13250,6.235919,746.065813
12,13250,6.207693,749.458224
12,13250,6.319022,736.254216
12,13250,6.163209,754.867453
12,13500,6.601997,745.342616
12,13500,6.513330,755.489081
12,13500,6.624636,742.795534
12,13500,6.623759,742.893874
12,13500,6.834343,720.003399
12,13750,6.940606,749.101574
12,13750,6.956947,747.341957
12,13750,6.871323,756.654694
12,13750,6.875911,756.149817
12,13750,6.927835,750.482503
12,14000,7.336179,748.073318
12,14000,7.396170,742.005628
12,14000,7.359401,745.712851
12,14000,7.382157,743.414132
12,14000,7.366081,745.036644
12,14250,7.684704,753.090935
12,14250,7.692719,752.306374
12,14250,7.680267,753.526038
12,14250,7.642217,757.277776
12,14250,7.714673,750.165424
12,14500,8.161219,747.100417
12,14500,8.144668,748.618612
12,14500,8.584681,710.247744
12,14500,8.134451,749.558923
12,14500,8.141446,748.914872
12,14750,9.116797,703.985598
12,14750,8.829019,726.931655
12,14750,8.869030,723.652259
12,14750,8.816886,727.932023
12,14750,8.913019,720.080784
12,15000,9.199609,733.726848
12,15000,9.240134,730.508849
12,15000,9.098622,741.870603
12,15000,9.029772,747.527146
12,15000,9.012373,748.970334
12,15250,9.585869,739.959620
12,15250,9.511562,745.740451
12,15250,9.486614,747.701561
12,15250,9.428016,752.348778
12,15250,9.472947,748.780301
12,15500,10.253043,726.394077
12,15500,10.060168,740.320668
12,15500,10.054604,740.730305
12,15500,10.250746,726.556847
12,15500,10.107892,736.825227
12,15750,10.758227,726.324943
12,15750,10.637496,734.568412
12,15750,10.524205,742.475902
12,15750,10.444651,748.131128
12,15750,10.554522,740.343227
12,16000,11.098353,738.127528
12,16000,11.484331,713.319729
12,16000,11.102639,737.842582
12,16000,11.238691,728.910532
12,16000,11.092118,738.542448
12,16250,11.508443,745.716109
12,16250,11.617558,738.712156
12,16250,11.443298,749.961356
12,16250,11.558493,742.487071
12,16250,11.440801,750.125027
12,16500,11.952783,751.645041
12,16500,12.113453,741.675385
12,16500,12.096282,742.728219
12,16500,12.088078,743.232317
12,16500,11.900101,754.972613
12,16750,12.695007,740.357496
12,16750,12.749747,737.178821
12,16750,12.506219,751.533594
12,16750,12.501735,751.803133
12,16750,13.027119,721.482929
12,17000,13.102549,749.930392
12,17000,13.149681,747.242457
12,17000,13.058548,752.457332
12,17000,13.148359,747.317615
12,17000,13.019044,754.740503
12,17250,13.596021,755.066935
12,17250,13.534800,758.482294
12,17250,13.685177,750.147880
12,17250,13.541828,758.088679
12,17250,13.552262,757.505020
12,17500,14.290336,750.069849
12,17500,14.361335,746.361679
12,17500,14.285796,750.308220
12,17500,14.408609,743.912909
12,17500,14.263339,751.489526
12,17750,15.361171,728.116306
12,17750,15.213492,735.184180
12,17750,15.505059,721.359327
12,17750,15.183759,736.623846
12,17750,15.643349,714.982386
12,18000,15.736859,741.189822
12,18000,16.038202,727.263579
12,18000,15.518261,751.630600
12,18000,15.592654,748.044546
12,18000,15.903472,733.424765
12,18250,16.129671,753.690600
12,18250,16.145044,752.972945
12,18250,16.171692,751.732177
12,18250,16.189166,750.920805
12,18250,16.223984,749.309236
12,18500,16.902593,749.189803
12,18500,16.942084,747.443476
12,18500,16.967282,746.333445
12,18500,17.351426,729.810346
12,18500,16.993385,745.187026
12,18750,17.589719,749.505631
12,18750,17.415438,757.006168
12,18750,17.681394,745.619583
12,18750,18.332767,719.127316
12,18750,17.734598,743.382735
12,19000,18.641382,735.889654
12,19000,18.494790,741.722402
12,19000,18.260495,751.239220
12,19000,18.315925,748.965718
12,19000,18.513888,740.957283
12,19250,19.049531,748.924274
12,19250,19.539588,730.141095
12,19250,19.221008,742.242882
12,19250,19.808448,720.230880
12,19250,19.171788,744.148463
12,19500,20.033231,740.257536
12,19500,19.842589,747.369714
12,19500,19.874529,746.168611
12,19500,20.009782,741.125008
12,19500,20.226235,733.193811
12,19750,20.624030,747.063906
12,19750,20.960118,735.085019
12,19750,20.724291,743.449722
12,19750,20.414605,754.727726
12,19750,20.551087,749.715517
12,20000,21.894406,730.780264
12,20000,22.350037,715.882490
12,20000,21.799266,733.969665
12,20000,21.492708,744.438540
12,20000,21.460518,745.555159
